level multiplicity entropy signed
-0.6153056909 12 3.553288167 0
-0.6103648914 12 3.554014439 0
-0.605424092 12 3.554704511 0
-0.6004832926 12 3.555360864 0
-0.5955424931 12 3.555985689 0
-0.5906016937 12 3.556581064 0
-0.5856608943 12 3.557148829 0
-0.5807200949 12 3.557690703 0
-0.5757792954 12 3.558208271 0
-0.570838496 12 3.558702977 0
-0.5658976966 12 3.559176157 0
-0.5609568971 12 3.559629043 0
-0.5560160977 12 3.560062794 0
-0.5510752983 12 3.560478449 0
-0.5461344989 12 3.560877002 0
-0.5411936994 12 3.561259372 0
-0.5362529 12 3.561626395 0
-0.5313121006 12 3.561978867 0
-0.5263713011 12 3.562317533 0
-0.5214305017 12 3.562643066 0
-0.5164897023 12 3.562956125 0
-0.5115489029 12 3.563257302 0
-0.5066081034 12 3.563547165 0
-0.501667304 12 3.56382624 0
-0.4967265046 12 3.564095023 0
-0.4917857051 12 3.564353977 0
-0.4868449057 12 3.56460354 0
-0.4819041063 12 3.564844131 0
-0.4769633069 12 3.565076127 0
-0.4720225074 12 3.5652999 0
-0.467081708 12 3.565515795 0
-0.4621409086 12 3.565724126 0
-0.4572001091 12 3.565925218 0
-0.4522593097 12 3.566119346 0
-0.4473185103 12 3.566306786 0
-0.4423777109 12 3.566487809 0
-0.4374369114 12 3.566662645 0
-0.432496112 12 3.566831544 0
-0.4275553126 12 3.566994712 0
-0.4226145131 12 3.567152363 0
-0.4176737137 12 3.567304699 0
-0.4127329143 12 3.567451912 0
-0.4077921149 12 3.567594164 0
-0.4028513154 12 3.56773165 0
-0.397910516 12 3.567864505 0
-0.3929697166 12 3.567992915 0
-0.3880289171 12 3.568117006 0
-0.3830881177 12 3.568236919 0
-0.3781473183 12 3.568352791 0
-0.3732065189 12 3.568464746 0
-0.3682657194 12 3.568572917 0
-0.36332492 12 3.568677403 0
-0.3583841206 12 3.568778325 0
-0.3534433211 12 3.568875789 0
-0.3485025217 12 3.56896989 0
-0.3435617223 12 3.569060724 0
-0.3386209229 12 3.569148386 0
-0.3336801234 12 3.569232961 0
-0.328739324 12 3.569314537 0
-0.3237985246 12 3.569393192 0
-0.3188577251 12 3.569469001 0
-0.3139169257 12 3.569542038 0
-0.3089761263 12 3.569612373 0
-0.3040353269 12 3.569680073 0
-0.2990945274 12 3.569745208 0
-0.294153728 12 3.569807831 0
-0.2892129286 12 3.569868001 0
-0.2842721291 12 3.569925787 0
-0.2793313297 12 3.569981225 0
-0.2743905303 12 3.570034377 0
-0.2694497309 12 3.570085289 0
-0.2645089314 12 3.570134007 0
-0.259568132 12 3.570180583 0
-0.2546273326 12 3.570225055 0
-0.2496865331 12 3.570267465 0
-0.2447457337 12 3.570307849 0
-0.2398049343 12 3.570346249 0
-0.2348641348 12 3.570382706 0
-0.2299233354 12 3.570417247 0
-0.224982536 12 3.57044991 0
-0.2200417366 12 3.570480714 0
-0.2151009371 12 3.570509705 0
-0.2101601377 12 3.570536902 0
-0.2052193383 12 3.57056234 0
-0.2002785388 12 3.570586043 0
-0.1953377394 12 3.570608026 0
-0.19039694 12 3.570628326 0
-0.1854561406 12 3.570646955 0
-0.1805153411 12 3.570663938 0
-0.1755745417 12 3.570679301 0
-0.1706337423 12 3.570693053 0
-0.1656929428 12 3.57070522 0
-0.1607521434 12 3.570715819 0
